tickets_id;agents_id;assignment_date;resolution_time;issue;submission_date;status;solutions_id;agents_name;agents_department;email;resolution_summary;solved_date
1818;1;2025/01/05;64;Stop else big particularly.;2025/02/19;Open;250;Shannon Reyes;IT;dominique36@example.net;Political region wide life room letter sound threat service wrong while people.;2025/01/30
276;86;2025/02/06;35;Then message suddenly practice maybe.;2025/01/11;Pending;1404;Mary Smith;Field Support;carlostravis@example.com;Candidate choice ground help large bed beautiful class happy international case item that.;2025/01/17
796;30;2025/01/19;40;Hour along picture until song read determine.;2025/01/14;Open;162;Chris Garcia;Field Support;john47@example.net;Foot bad hour almost lay want class some cultural chance.;2025/02/10
548;81;2025/01/12;25;But mother anything enjoy save conference ago.;2025/02/11;Open;544;William Torres;Field Support;tammy54@example.org;Decision if example will type within.;2025/01/08
870;63;2025/02/01;66;Color finally oil.;2025/01/04;Pending;1081;Laura Burns;Customer Service;ismith@example.com;Save bill series matter evening particular sit cause.;2025/02/11
183;16;2025/01/11;40;Entire between white matter break see describe month.;2025/02/07;Pending;1094;Jason Turner;IT;tracy22@example.net;Reflect break box against thus fly provide affect close available.;2025/01/19
770;87;2025/01/23;25;Sometimes only soon anyone purpose animal practice property.;2025/02/10;Open;505;Wanda Rivera;Customer Service;markwilliams@example.com;Wide study how realize somebody information might number animal reveal floor sometimes hit.;2025/01/15
1989;5;2025/02/06;27;Figure bring wear door wind prove strong.;2025/01/03;Pending;1537;Rebecca Byrd;Customer Service;hcole@example.com;Build idea simple player heavy range every around partner cultural.;2025/02/07
1344;100;2025/02/09;22;May to have of theory.;2025/02/04;Closed;1126;Tina Smith;Field Support;shawerin@example.net;Modern own much memory nor reduce cup.;2025/01/10
321;67;2025/02/13;58;Medical since keep offer management.;2025/01/01;Open;414;Wanda Shepard;Customer Service;mark27@example.com;Benefit however conference key term position away during able he act lay.;2025/01/13
1118;48;2025/01/24;69;Hear ground change every shake safe work.;2025/01/29;Closed;231;Suzanne Carson;IT;kjensen@example.org;A natural knowledge position from cause consider home lose employee year.;2025/01/25
1749;90;2025/01/09;59;Check stuff use institution war seven.;2025/01/15;Closed;1402;Sara White;Field Support;andreaclements@example.org;Since thank mean war cultural school light half last material.;2025/02/22
585;76;2025/01/11;46;Offer send former.;2025/02/12;Pending;302;David Edwards;IT;danagriffith@example.net;Note window group argue gas speak rate heavy arm water least attorney best.;2025/02/09
1856;29;2025/01/25;67;Listen threat expert rather condition arm.;2025/01/29;Pending;672;Matthew Powers;Customer Service;hopkinskim@example.net;Trade ago over area condition clear science agency thought best religious particularly whether.;2025/01/28
1147;81;2025/01/12;28;And technology authority name change.;2025/02/14;Open;655;William Torres;Field Support;tammy54@example.org;Apply but take law customer ago dog win particularly often machine.;2025/02/18
368;66;2025/02/16;26;Spring project once movie himself before.;2025/01/09;Closed;669;Sarah Bell;Field Support;williambrown@example.net;Goal election bar ask money others time music.;2025/02/15
470;39;2025/02/08;47;Land cut thought spend attorney surface area.;2025/01/22;Open;1594;Angelica Knox;IT;jennifer03@example.org;Figure start away book become everybody green suddenly often firm manage.;2025/01/09
584;55;2025/01/02;43;Reflect stop about impact guess.;2025/02/02;Pending;918;Paul Boyd;Field Support;kathleenwelch@example.net;About wrong center those significant again economic myself but among camera yourself bar.;2025/01/13
456;24;2025/01/20;63;Personal similar people at.;2025/01/19;Pending;378;Kristen Ramirez;Customer Service;potterjennifer@example.com;Experience everything situation good material doctor.;2025/01/15
334;23;2025/02/02;69;Group when oil group stand start result pattern.;2025/01/03;Closed;44;Michael Gonzalez;Customer Service;eric90@example.com;Both PM worker begin law include until clearly audience.;2025/01/13
1066;9;2025/01/03;25;Discuss news thus eat where thought financial trade.;2025/02/05;Open;1148;Laura Collins;IT;rachel87@example.com;Plan tree writer less eat report rule citizen.;2025/01/21
1353;22;2025/01/23;35;Seven activity several able.;2025/01/28;Pending;1582;Richard Tucker;Customer Service;john75@example.com;Number marriage professional so require small glass decision pass girl organization.;2025/01/08
109;88;2025/02/10;1;While start phone coach civil.;2025/01/09;Pending;666;Eric Williams;IT;sean13@example.net;Television kitchen start game scientist involve traditional hit practice.;2025/02/12
1613;50;2025/01/12;68;Rate threat stay allow.;2025/01/26;Open;1853;Antonio Snyder;Field Support;ssmith@example.org;Media half positive say buy each former.;2025/01/24
599;24;2025/01/21;23;Keep either guy.;2025/02/08;Pending;727;Kristen Ramirez;Customer Service;potterjennifer@example.com;Large what young return arrive responsibility still.;2025/01/14
1054;14;2025/01/15;70;Miss figure probably reality.;2025/01/12;Closed;1977;Julie Petty;Field Support;annemullins@example.org;Hand statement voice light financial her west wind court.;2025/02/15
1638;46;2025/01/27;49;Already he behavior fund account find.;2025/01/14;Pending;849;Aaron Love;IT;lopezjeffrey@example.com;Skill onto policy matter page least different.;2025/01/08
454;25;2025/02/07;18;Like state that other stand tonight generation.;2025/02/22;Open;1879;Krista Ryan;Customer Service;wrightalexandra@example.org;Go move seven alone investment many much.;2025/01/10
1010;34;2025/02/04;68;Mother out third night election kid local.;2025/01/31;Closed;1735;Emily Richards;Customer Service;craig75@example.com;Try really statement reveal produce stage try job now stuff research.;2025/02/07
902;75;2025/01/04;69;Risk first huge reduce their give dark.;2025/01/28;Open;1563;Valerie Macias;Field Support;uramirez@example.com;Traditional between reach response everybody life.;2025/01/09
1280;24;2025/01/14;66;Performance maintain kid economic pass seek then believe.;2025/01/15;Open;596;Kristen Ramirez;Customer Service;potterjennifer@example.com;Eat letter network watch better least old nice road write give wrong million.;2025/02/06
1421;77;2025/01/22;2;Response loss strong sure generation.;2025/02/15;Open;124;Brent Marshall;IT;sadkins@example.com;Thousand situation better defense accept agree six five simply me carry bank election.;2025/02/03
1408;46;2025/01/10;52;Know reflect story show.;2025/01/22;Pending;1021;Aaron Love;IT;lopezjeffrey@example.com;Position time music recently deal once remember media address particular cut.;2025/02/06
193;58;2025/01/27;28;Wide establish effect maybe least less.;2025/01/14;Open;1250;Matthew Green;Customer Service;justin87@example.net;Either act follow issue building east power campaign front.;2025/02/12
123;22;2025/02/20;18;Learn attention owner ground area whether ready.;2025/01/03;Open;1929;Richard Tucker;Customer Service;john75@example.com;Let already enough east full message.;2025/01/02
1823;62;2025/02/02;47;Evidence no field.;2025/01/14;Closed;661;Catherine Atkins;Customer Service;drakejade@example.net;Federal hair help page work us they.;2025/02/04
968;21;2025/01/15;12;Father also foreign your Democrat should.;2025/01/18;Open;748;Angel Bruce;Field Support;mcphersonwilliam@example.com;Share none now certainly office soldier thank culture explain sense left.;2025/02/06
1989;11;2025/01/20;48;Figure bring wear door wind prove strong.;2025/01/03;Pending;1537;Mary Rangel;Field Support;alisonnelson@example.org;Build idea simple player heavy range every around partner cultural.;2025/02/07
1987;16;2025/01/27;27;Or world manage face I.;2025/01/19;Closed;698;Jason Turner;IT;tracy22@example.net;Usually success bed page medical already idea suddenly senior full.;2025/01/04
173;54;2025/01/09;67;Answer number live usually.;2025/01/10;Pending;1920;Benjamin Young;Field Support;johnstonsteve@example.com;Statement speech light produce or peace interesting trade.;2025/02/11
333;64;2025/01/14;65;Collection star visit wide arrive ball sign.;2025/02/09;Open;517;Samantha Mcpherson;Field Support;gperez@example.com;Way plant issue role hot method memory culture office move middle.;2025/01/11
